question,choices,answer,level,subject
Which of the events described below agrees with the idea of catastrophism?,"['A. The gradual uplift of the Himalayas by the collision of the Australian crustal plate with the Eurasian crustal plate', 'B. The formation of the Grand Canyon by the Colorado River over millions of years', 'C. The gradual deposition of sediments many kilometers thick on the floors of seas and oceans', 'D. The sudden demise of the dinosaurs, and various other groups, by the impact of a large extraterrestrial body with Earth']","D. The sudden demise of the dinosaurs, and various other groups, by the impact of a large extraterrestrial body with Earth",high_school,biology
A gas phase is generally absent from which of the following biogeochemical cycles?,"['A. Water', 'B. Carbon', 'C. Sulfur', 'D. Phosphorus']",D. Phosphorus,high_school,biology
"If neutral variation is truly ""neutral,"" then it should have no effect on","['A. nucleotide diversity.', 'B. average heterozygosity.', 'C. our ability to measure the rate of evolution.', 'D. relative fitness.']",D. relative fitness.,high_school,biology
"Within a cell, the amount of protein synthesized using a given mRNA molecule depends in part on which of the following?","['A. DNA methylation suppresses the expression of genes.', 'B. Transcription factors mediate the binding of RNA polymerase and the initiation of transcription, which will determine how much protein is manufactured.', 'C. The speed with which mRNA is degraded will determine how much protein is synthesized.', 'D. The location and number of ribosomes in a cell will solely determine how much protein is synthesized.']",C. The speed with which mRNA is degraded will determine how much protein is synthesized.,high_school,biology
Which of the following pairs of structures is least likely to represent homology?,"['A. The wings of a bat and the arms of a human', 'B. The hemoglobin of a baboon and that of a gorilla', 'C. The mitochondria of a plant and those of an animal', 'D. The wings of a bird and those of an insect']",D. The wings of a bird and those of an insect,high_school,biology
Which of the following statements explains how a point mutation can have no negative impact in the protein formed from a sequence in DNA?,"['A. The first codon of a gene is always AUG, a leader sequence; a mutation in that sequence will have no effect on the protein produced.', 'B. Several codons code for the same amino acid.', 'C. DNA polymerase and DNA ligase carry out excision repair before transcription.', 'D. RNA processing will repair point mutations before mRNA leaves the nucleus.']",B. Several codons code for the same amino acid.,high_school,biology
A man contracts the same flu strain for the second time in a single winter season. The second time he experiences fewer symptoms and recovers more quickly. Which cells are responsible for this rapid recovery?,"['A. Helper T cells', 'B. Cytotoxic T cells', 'C. Memory cells', 'D. Plasma cells']",C. Memory cells,high_school,biology
"A researcher grows a population of ferns in her laboratory. She notices, after a few generations, a new variant that has a distinct phenotype. When she tries to breed the original phenotype with the new one, no offspring are produced. When she breeds the new variants, however, offspring that look like the new variant result. Which of the following could possibly characterize the new variant?","['A. Adaptive radiation', 'B. Divergent selection', 'C. Equilibrium', 'D. Polyploidy']",D. Polyploidy,high_school,biology
Which of these is the smallest unit that natural selection can change?,"[""A. a species' gene frequency"", ""B. a population's gene frequency"", ""C. an individual's genome"", ""D. an individual's genotype""]",B. a population's gene frequency,high_school,biology
The acrosome and cortical reactions that occur immediately after fertilization ensure which of the following?,"['A. The sperm will fertilize the ovum.', 'B. The zygote will begin to divide normally.', 'C. One and only one sperm will fertilize the egg.', 'D. The zygote will not divide into two embryos, producing twins.']",C. One and only one sperm will fertilize the egg.,high_school,biology
"If the HMS Beagle had completely bypassed the Galapagos Islands, Darwin would have had a much poorer understanding of the","[""A. relative stability of a well-adapted population's numbers over many generations."", 'B. ability of populations to undergo modification as they adapt to a particular environment.', 'C. tendency of organisms to produce the exact number of offspring that the environment can support.', 'D. unlimited resources that support population growth in most natural environments.']",B. ability of populations to undergo modification as they adapt to a particular environment.,high_school,biology
Photosynthesis requires,"['A. glucose, light, CO2', 'B. light, CO2, water', 'C. water, soil, O2', 'D. O2, water, light']","B. light, CO2, water",high_school,biology
Which of the following is not the basis for a wage differential?,"['A. Higher risk job.', 'B. Investment in human capital.', 'C. Increase in production of SUVs.', 'D. Racial discrimination.']",C. Increase in production of SUVs.,high_school,microeconomics
Land refers to,"['A. all productive resources.', 'B. all natural resources.', 'C. farmland only.', 'D. real estate.']",B. all natural resources.,high_school,microeconomics
A positive sign on cross price elasticity of demand indicates that the two products are,"['A. luxuries.', 'B. necessities.', 'C. substitutes.', 'D. complements.']",C. substitutes.,high_school,microeconomics
"If the perfectly competitive price is currently below minimum average total cost, we can expect which of the following events in the long run?","[""A. The price will rise and each firm's output will fall as firms exit the industry."", 'B. Market equilibrium quantity will increase as firms exit the industry.', 'C. Nothing. The industry is currently in long-run equilibrium.', 'D. The price will rise to the breakeven point as firms exit the industry.']",D. The price will rise to the breakeven point as firms exit the industry.,high_school,microeconomics
"A competitive market for coffee, a normal good, is currently in equilibrium. Which of the following would most likely result in an increase in the demand for coffee?","['A. Consumer income falls.', 'B. The price of tea rises.', 'C. The wage of coffee plantation workers falls.', 'D. Technology in the harvesting of coffee beans improves.']",B. The price of tea rises.,high_school,microeconomics
The market structures of perfect competition and monopolistic competition share which of the following characteristics?,"['A. Ease of entry and exit in the long run', 'B. Homogenous products', ""C. Perfectly elastic demand for the firm's product"", 'D. Long-run positive profits']",A. Ease of entry and exit in the long run,high_school,microeconomics
"Consider a profit-maximizing firm in a perfectly competitive market with several sellers and several buyers (i.e., the firm is a ""price taker"" of the goods it sells and a ""price taker"" of the hourly wages it pays its workers). If a technological innovation made by someone in this firm were to significantly raise the firm's marginal physical product (but not that of any other firm's), then this innovation would","['A. reduce the firm’s employment level, because fewer workers are now needed', 'B. raise the workers’ hourly wage as they now contribute more marginal revenue', 'C. lead the firm to hire more workers but not to raise their wages', 'D. lead the firm to hire more workers and to pay them higher wages']",C. lead the firm to hire more workers but not to raise their wages,high_school,microeconomics
The long-run average cost curve,"['A. is always below the short-run average cost curve', 'B. is always above the short-run average cost curve', 'C. always intersects the short-run average cost curve at the minimum of short-run average cost', 'D. is below the short-run average cost except at one point']",D. is below the short-run average cost except at one point,high_school,microeconomics
Which of the following will shift the supply curve for textbooks to the left?,"['A. A decrease in the demand for a substitute in production', 'B. A decrease in the number of buyers', 'C. An increase in printing costs', 'D. Expectations of future surpluses']",C. An increase in printing costs,high_school,microeconomics
Which of the following is characteristic of a perfectly competitive firm's demand curve?,"['A. average revenue is less than price at all levels of output', 'B. marginal revenue is equal to marginal cost at all levels of output', 'C. price and marginal revenue are equal at all levels of output', 'D. it is the same as the market demand curve']",C. price and marginal revenue are equal at all levels of output,high_school,microeconomics
"With respect to the kinked demand curve, which of the following is NOT correct?","['A. There is no price leader.', 'B. There are relatively equal shares of the market.', 'C. Price is greater than marginal costs.', 'D. The demand curve is of one continuous function.']",D. The demand curve is of one continuous function.,high_school,microeconomics
Which of the following examples would result in consumers paying for the largest burden of an excise tax placed on a producer?,"['A. If the demand curve is price elastic and the supply curve is price inelastic', 'B. If the demand curve is price elastic and the supply curve is perfectly elastic', 'C. If the demand curve is price inelastic and the supply curve is price elastic', 'D. If the demand curve is perfectly inelastic and the supply curve is price elastic']",D. If the demand curve is perfectly inelastic and the supply curve is price elastic,high_school,microeconomics
Which of the following is a characteristic of monopolistic competition?,"['A. P > MC.', 'B. Efficiency.', 'C. Mostly price competition.', 'D. P =MR.']",A. P > MC.,high_school,microeconomics
The downward-sloping demand curve is partially explained by which of the following?,"['A. Substitution effects and income effects', 'B. The law of increasing marginal costs', 'C. The principle of comparative advantage', 'D. The law of diminishing marginal returns to production']",A. Substitution effects and income effects,high_school,microeconomics
Which of the following is a characteristic of monopoly?,"['A. A single firm in the industry.', 'B. Price equal to marginal revenue.', 'C. Perfectly elastic demand curve.', 'D. Weak barriers to entry.']",A. A single firm in the industry.,high_school,microeconomics
"A microwave oven is connected to an outlet, 120 V, and draws a current of 2 amps. At what rate is energy being used by the microwave oven?","['A. 10 W', 'B. 30 W', 'C. 60 W', 'D. 240 W']",D. 240 W,high_school,physics
"A whiffle ball is tossed straight up, reaches a highest point, and falls back down. Air resistance is not negligible. Which of the following statements are true?
I. The ball’s speed is zero at the highest point.
II. The ball’s acceleration is zero at the highest point.
III. The ball takes a longer time to travel up to the highest point than to fall back down.","['A. I only', 'B. II only', 'C. I & II only', 'D. I & III only']",C. I & II only,high_school,physics
Two identical capacitors are hooked in parallel to an external circuit. Which of the following quantities must be the same for both capacitors? I. the charge stored on the capacitor II.  the voltage across the capacitor III. the capacitance of the capacitor,"['A. I only', 'B. II only', 'C. II and III only', 'D. (E) I, II, and III']","D. (E) I, II, and III",high_school,physics
Which of these quantities decreases as the inverse square of distance for distances far from the objects producing the fields?,"['A. the electric field produced by a finite-length charged rod', 'B. the electric field produced by an infinitely long charged cylinder', 'C. the electric field produced by an infinite plane of charge', 'D. the magnetic field produced by an infinitely long, straight current-carrying wire']",A. the electric field produced by a finite-length charged rod,high_school,physics
"An astronaut lands on a planet whose mass and radius are each twice that of Earth. If the astronaut weighs 800 N on Earth, how much will he weigh on this planet?","['A. 200 N', 'B. 400 N', 'C. 800 N', 'D. 1600 N']",B. 400 N,high_school,physics
"A rubber ball (mass = 0.08 kg) is dropped from a height of 3.2 m, and after bouncing off the floor, rises almost to its original height. If the impact time with the floor is measured to be 0.04 s, what average force did the floor exert on the ball?","['A. 0.16 N', 'B. 0.16 N', 'C. 0.32 N', 'D. 0.36 N']",C. 0.32 N,high_school,physics
"An ideal battery of constant voltage V supplies current to a circuit that has total resistance R. If R is doubled, what will happen to the total power dissipated by the circuit?","['A. It will double.', 'B. It will quadruple.', 'C. It will be halved.', 'D. It will remain the same.']",C. It will be halved.,high_school,physics
"Optometrists use a linear scale of lens power, measured in diopters, to prescribe corrective lenses. Sufferers of myopia, or nearsightedness, have difficulty resolving distant objects because the lenses in their eyes are too strong. If a myopic person has a prescription of -5 diopters, what image do her corrective lenses create for distant objects?","['A. An upright, real image about 20 cm in front of her eyes', 'B. An upright, virtual image about 20 cm in front of her eyes', 'C. An inverted, real image about 20 cm behind her eyes', 'D. An inverted, virtual image 5 cm behind her eyes']","B. An upright, virtual image about 20 cm in front of her eyes",high_school,physics
"Given that the Earth’s mass is m, its tangential speed as it revolves around the Sun is v, and the distance from the Sun to the Earth is R, which of the following correctly describes the work done by the centripetal force, Wc, in one year’s time?","['A. Wc > 2R(mv^2/R)', 'B. Wc = 2R(mv^2/R)', 'C. Wc < 2R(mv^2/R)', 'D. Cannot be determined']",C. Wc < 2R(mv^2/R),high_school,physics
"The plates of a capacitor are charged to a potential difference of 5 V. If the capacitance is 2 mF, what is the charge on the positive plate?","['A. 0.005 C', 'B. 0.01 C', 'C. 0.02 C', 'D. 0.5 C']",B. 0.01 C,high_school,physics
Which of the following statements about images is true?,"['A. Images produced by concave lenses are always real.', 'B. Images produced by concave mirros are always real.', 'C. Images produced by convex lenses can be both real and virtual.', 'D. Images produced by convex mirrors can be both real and virtual.']",C. Images produced by convex lenses can be both real and virtual.,high_school,physics
A solid plastic cube with uniform density (side length = 0.5 m) of mass 100 kg is placed in a vat of fluid whose density is 1200 kg/m^3. What fraction of the cube's volume floats above the surface of the fluid?,"['A. 1.0/9', 'B. 1.0/3', 'C. 2.0/3', 'D. 4.0/5']",B. 1.0/3,high_school,physics
Two identical containers are filled with different gases. Container 1 is filled with hydrogen and container 2 is filled with nitrogen. Each container is set on a lab table and allowed to come to thermal equilibrium with the room. Which of the following correctly compares the properties of the two gases?,"['A. The average kinetic energy of the hydrogen gas is greater than the nitrogen gas.', 'B. The average force exerted on the container by the hydrogen gas is greater than the nitrogen gas.', 'C. The density of the hydrogen gas is less than the nitrogen gas.', 'D. The pressures of the gases cannot be compared without knowing the number of molecules in each container.']",D. The pressures of the gases cannot be compared without knowing the number of molecules in each container.,high_school,physics
"A stone is thrown horizontally with an initial speed of 10 m/s from a bridge. Assuming that air resistance is negligible, how long would it take the stone to strike the water 80 m below the bridge?","['A. 1 s', 'B. 2 s', 'C. 4 s', 'D. 8 s']",C. 4 s,high_school,physics
It is observed that sounds can be heard around a corner but that light cannot be seen around a corner. What is a reasonable explanation for this observation?,"['A. Light travels at 3 × 10^8 m/s, which is too fast to change direction around a corner.', 'B. Sound has a longer wavelength, which increases the diffraction.', 'C. Light is an electromagnetic wave that is behaving as a particle.', 'D. Sound is a mechanical wave that can change direction in its propagation media.']","B. Sound has a longer wavelength, which increases the diffraction.",high_school,physics
"Jacob cries uncontrollably every time his mother takes him down the candy isle in the supermarket and refuses to let him buy anything. Eventually, Jacob's mother gives in and lets him choose one candy item to buy if he stops crying. Jacob's crying behavior is __________________ by his mother.","['A. punished', 'B. associated', 'C. reinforced', 'D. extinguished']",C. reinforced,high_school,psychology
Neural transmission is often described as an electrochemical process. Which of the following is most directly involved in the electrical aspect?,"['A. the synapse', 'B. terminal buttons', 'C. hormones', 'D. myelin']",D. myelin,high_school,psychology
"A piano teacher is helping a student learn a new piece. At first, she praises the student for playing correct notes. After the student begins to show proficiency with the notes, the teacher only praises the student when he adds the proper dynamics and interpretation to the segments he plays. The teacher's method of instruction is an example of which of the following types of training techniques?","['A. Negative reinforcement', 'B. Negative punishment', 'C. Shaping', 'D. Chaining']",C. Shaping,high_school,psychology
Which of the following kinds of personality theorists is the most likely to use a projective test?,"['A. social-cognitive', 'B. behaviorist', 'C. humanist', 'D. psychoanalyst']",D. psychoanalyst,high_school,psychology
Which of the following is an example of an implicit memory?,"['A. describing the taste of the cake at your last birthday party', 'B. remembering how to tie a tie', 'C. recalling the name of your junior high school shop teacher', 'D. recognizing a celebrity']",B. remembering how to tie a tie,high_school,psychology
"During assigned seat-work time, Mary, a firstgrade student, sometimes leaves her seat and attempts to play with a block collection. When she leaves her seat, she fails to complete her seat work. Which of the following behavioral intervention strategies will most effectively increase the long-term likelihood that Mary will complete her seat work?","['A. Allowing Mary to read from a teacherselected book for a specific period of time before beginning her seat work', 'B. Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time', 'C. Explaining to Mary the value of completing seat work in terms of the objectives of the lesson', 'D. Removing the blocks from the classroom during the assigned seat-work time']",B. Allowing Mary to play with the blocks afterward if she remains in her seat throughout the assigned seat-work time,high_school,psychology
"Carl Jung's concept of a repository of ideas, feelings, and symbols shared by all humans and passed genetically from one generation to another is known as Jung's theory of the","['A. cultural subconscious', 'B. general awareness', 'C. heritability coefficients', 'D. collective unconscious']",D. collective unconscious,high_school,psychology
Alyssa presents one group of shoppers with an advertisement for milk that is 99 percent fat free and another group of shoppers with an advertisement for milk that is 1 percent fat. What is Alyssa most likely testing?,"['A. representativeness heuristic', 'B. confirmation bias', 'C. schema', 'D. framing']",D. framing,high_school,psychology
Which structure is found in the inner ear?,"['A. hammer', 'B. basilar membrane', 'C. tympanic membrane', 'D. pinna']",B. basilar membrane,high_school,psychology
Individuals in which of the following occupations will be potentially LEAST likely to be susceptible to health problems as a result of disrupted circadian rhythms?,"['A. Shift nurse', 'B. Police officer', 'C. Flight attendant', 'D. College professor']",D. College professor,high_school,psychology
An unjustifiable and usually negative attitude toward a group and its members is called,"['A. prejudice', 'B. ethnocentrism', 'C. in-group bias', 'D. discrimination']",A. prejudice,high_school,psychology
Some groups of gang members wear head coverings and sunglasses when they assault people. The use of such disguises contributes to,"['A. social loafing', 'B. cognitive dissonance', 'C. learned helplessness', 'D. deindividuation']",D. deindividuation,high_school,psychology
What kind of therapy involves both behavioral and cognitive interventions?,"['A. counterconditioning', 'B. symptom substitution', 'C. primary preventions', 'D. systematic desensitization']",D. systematic desensitization,high_school,psychology
The Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) published by the American Psychiatric Association provides information about all of the following EXCEPT,"['A. names of mental disorders', 'B. categorization of all mental disorders', 'C. primary symptoms of all mental disorders', 'D. causes of all mental disorders']",D. causes of all mental disorders,high_school,psychology
"Nat's therapist tells him to relax, close his eyes, and breathe slowly whenever he begins to experience fear associated with being in an enclosed space. The therapist is using a technique that is central to","['A. person-centered therapy', 'B. psychoanalysis', 'C. rational-emotive therapy', 'D. systematic desensitization']",D. systematic desensitization,high_school,psychology
"After receiving several complaints from his customers about the store being closed on Sundays, a storekeeper decided to conduct a survey. He randomly selected 100 female customers and 120 male customers, and asked them, ""Are you interested in shopping at this store on Sundays?"" He counted the number of customers answering ""yes"" and constructed a 95 percent confidence interval for the difference by subtracting the proportions of female from the proportion of male customers in favor of shopping on Sundays. The resulting interval was (–0.23, –0.18). Which of the following is a correct interpretation of the interval?","['A. We are 95 percent confident that the proportion of women interested in shopping on Sundays exceeds the proportion of men interested in shopping on Sundays.', 'B. We are 95 percent confident that the proportion of men interested in shopping on Sundays exceeds the proportion of women interested in shopping on Sundays.', 'C. We are 95 percent confident that the proportion of women interested in shopping on Sundays is equal to the proportion of men interested in shopping on Sundays.', 'D. Because the interval contains negative values, it is invalid and should not be interpreted.']",A. We are 95 percent confident that the proportion of women interested in shopping on Sundays exceeds the proportion of men interested in shopping on Sundays.,high_school,statistics
The observed times (in minutes) it takes a runner to complete a marathon are normally distributed. The z-score for his running time this week is –2. Which one of the following statements is a correct interpretation of his z-score?,"['A. This week his time was two minutes lower than his time last week.', 'B. This week his time was two minutes lower than his best time ever.', 'C. This week his time was two minutes lower than his average time.', 'D. This week his time was two standard deviations lower than his average time.']",D. This week his time was two standard deviations lower than his average time.,high_school,statistics
"Suppose that 60% of a particular electronic part last over 3 years, while 70% last less than 6 years. Assuming a normal distribution, what are the mean and standard deviation with regard to length of life of these parts?","['A. μ = 3.677, σ = 3.561', 'B. μ = 3.977, σ = 3.861', 'C. μ = 4.177, σ = 3.561', 'D. μ = 4.377, σ = 3.261']","B. μ = 3.977, σ = 3.861",high_school,statistics
"To test whether extensive exercise lowers the resting heart rate, a study is performed by randomly selecting half of a group of volunteers to exercise 1 hour each morning, while the rest are instructed to perform no exercise. Is this study an experiment or an observational study?","['A. An experiment with a control group and blinding', 'B. An experiment with blocking', 'C. An observational study with comparison and randomization', 'D. None of the above']",D. None of the above,high_school,statistics
The mean Law School Aptitude Test (LSAT) score for applicants to a particular law school is 650 with a standard deviation of 45. Suppose that only applicants with scores above 700 are considered. What percentage of the applicants considered have scores below 740? (Assume the scores are normally distributed.),"['A. 13.3%', 'B. 17.1%', 'C. 82.9%', 'D. 86.7%']",C. 82.9%,high_school,statistics
"""A hypothesis test yields a P-value of 0.20."" Which of the following best describes what is meant by this statement?","['A. The probability of getting a finding at least as extreme as that obtained by chance alone if the null hypothesis is true is 0.20.', 'B. The probability of getting a finding as extreme as that obtained by chance alone from repeated random sampling is 0.20.', 'C. The probability is 0.20 that our finding is significant.', 'D. The probability of getting this finding is 0.20.']",A. The probability of getting a finding at least as extreme as that obtained by chance alone if the null hypothesis is true is 0.20.,high_school,statistics
"In general, how does tripling the sample size change the confidence interval size?","['A. It triples the interval size.', 'B. It divides the interval size by 3.', 'C. It multiples the interval size by 1.732.', 'D. It divides the interval size by 1.732.']",D. It divides the interval size by 1.732.,high_school,statistics
An insurance company wishes to study the number of years drivers in a large city go between automobile accidents. They plan to obtain and analyze the data from a sample of drivers. Which of the following is a true statement?,"['A. A reasonable time-and-cost-saving procedure would be to use systematic sampling on an available list of all AAA (Automobile Association of America) members in the city.', 'B. A reasonable time-and-cost-saving procedure would be to randomly choose families and include all drivers in each of these families in the sample.', 'C. To determine the mean number of years between accidents, randomness in choosing a sample of drivers is not important as long as the sample size is very large.', 'D. None of the above are true statements.']",D. None of the above are true statements.,high_school,statistics
An outlier is an observation that,"['A. is seen more frequently than the other observations in the data set', 'B. is seen less frequently than the other observations in the data set', 'C. is always smaller than the other observations in the data set', 'D. is significantly different from the other observations in the data set']",D. is significantly different from the other observations in the data set,high_school,statistics
"A manufacturer of ready-bake cake mixes is interested in designing an experiment to test the effects of four different temperature levels (300, 325, 350, and 375F), two different types of pans (glass and metal), and three different types of ovens (gas, electric, and microwave) on the texture of its cakes, in all combinations. Which of the following below is the best description of the design of the necessary experiment?","['A. A completely randomized design with nine treatment groups', 'B. A completely randomized design with 24 treatment groups', 'C. A randomized block design, blocked on temperature, with six treatment groups', 'D. A randomized block design, blocked on type of pan, with 12 treatment groups']",B. A completely randomized design with 24 treatment groups,high_school,statistics
"A study is made to determine whether more hours of academic studying leads to higher point scoring by basketball players. In surveying 50 basketball players, it is noted that the 25 who claim to study the most hours have a higher point average than the 25 who study less. Based on this study, the coach begins requiring the players to spend more time studying. Which of the following is a correct statement?","['A. While this study may have its faults, it still does prove causation.', 'B. There could well be a confounding variable responsible for the seeming relationship.', 'C. While this is a controlled experiment, the conclusion of the coach is not justified.', 'D. To get the athletes to study more, it would be more meaningful to have them put in more practice time on the court to boost their point averages, as higher point averages seem to be associated with more study time.']",B. There could well be a confounding variable responsible for the seeming relationship.,high_school,statistics
"Suppose X and Y are random variables with μx = 32, σx = 5, μy = 44, and σy = 12. Given that X and Y are independent, what are the mean and standard deviation of the random variable X + Y?","['A. μx+y = 76, σx+y = 8.5', 'B. μx+y = 76, σx+y = 13', 'C. μx+y = 76, σx+y = 17', 'D. μx+y = 38, σx+y = 17']","B. μx+y = 76, σx+y = 13",high_school,statistics
"Both over-the-counter niacin and the prescription drug Lipitor are known to lower blood cholesterol levels. In one double-blind study Lipitor outperformed niacin. The 95% confidence interval estimate of the difference in mean cholesterol level lowering was (18, 41). Which of the following is a reasonable conclusion?","['A. Niacin lowers cholesterol an average of 18 points, while Lipitor lowers cholesterol an average of 41 points.', 'B. There is a 0.95 probability that Lipitor will outperform niacin in lowering the cholesterol level of any given individual.', 'C. There is a 0.95 probability that Lipitor will outperform niacin by at least 23 points in lowering the cholesterol level of any given individual.', 'D. None of the above.']",D. None of the above.,high_school,statistics
"The principal of a school is interested in estimating the average income per family of her students. She selects a random sample of students and collects information about their family income. A 95 percent confidence interval computed from this data for the mean income per family is ($35,095, $45,005). Which of the following provides the best interpretation of this confidence interval?","['A. 95 percent of the students in her school are from families whose income is between $35,095 and $45,005.', 'B. There is a 95% probability that the families of all the students in this school have an income of between $35,095 and $45,005.', 'C. If we were to take another sample of the same size and compute a 95 percent confidence interval, we would have a 95% chance of getting the interval ($35,095, $45,005).', 'D. There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.']","D. There is a 95% probability that the mean income per family in the school is between $35,095 and $45,005.",high_school,statistics
"A study looked at medical records of about 23,000 patients, mostly in Asia. They found that patients who drank at least three cups of green tea per day had a much lower incidence of depression. In an American newspaper article about this study, which of the following statements should not be made?","[""A. It is possible that people who drink green tea also tend to have healthier lifestyles than those who don't."", ""B. It is possible that people who drink green tea also tend to have a more positive outlook on life than those who don't."", 'C. Because this is observational data, the association between drinking green tea and a lower incidence of depression is not an indication of a causal relationship.', 'D. People who want to avoid depression should consider drinking green tea on a daily basis.']",D. People who want to avoid depression should consider drinking green tea on a daily basis.,high_school,statistics
"This question refers to the following information.
""Americans have more freedom and broader rights than citizens of almost any other nation in the world, including the capacity to criticize their government and their elected officials. But we do not have the right to resort to violence—or the threat of violence—when we don't get our way. Our founders constructed a system of government so that reason could prevail over fear. Oklahoma City proved once again that without the law there is no freedom. Criticism is part of the lifeblood of democracy. No one is right all the time. But we should remember that there is a big difference between criticizing a policy or a politician and demonizing the government that guarantees our freedoms and the public servants who enforce our laws.""
President Bill Clinton, ""What We Learned in Oklahoma City,"" 2010
(Written on the 15th anniversary of the Oklahoma City bombing)
""If there would not have been a Waco, I would have put down roots somewhere and not been so unsettled with the fact that my government…was a threat to me. Everything that Waco implies was on the forefront of my thoughts. That sort of guided my path for the next couple of years.""
Timothy McVeigh, Oklahoma City bomber, 2001
U.S. Representative John Conyers, Events Surrounding the Branch Davidian Cult Standoff in Waco, Texas: Hearing Before the Committee on the Judiciary, House of Representatives, 1993
The above excerpts most closely support which of the following inferences?","['A. In the 1990s, anti-government sentiment, in response to excessive uses of federal power to resolve domestic conflicts, inspired militia groups and lone vigilantes, such as Timothy McVeigh.', 'B. In 1993 Attorney General Janet Reno launched an offensive against the Branch Davidian cult led by Timothy McVeigh, later drawing criticism from Congress for her heavy-handed approach.', 'C. Fearing a rise in anti-government sentiment after the Oklahoma City bombing, Attorney General Janet Reno sent troops to quell the Branch Davidian Cult Standoff, and later faced congressional criticism.', 'D. Attorney General Janet Reno resigned from office in part due to Congressional pressure put on President Clinton by Representative John Conyers.']","A. In the 1990s, anti-government sentiment, in response to excessive uses of federal power to resolve domestic conflicts, inspired militia groups and lone vigilantes, such as Timothy McVeigh.",high_school,us_history
"This question refers to the following information.
""Lincoln was strongly anti-slavery, but he was not an abolitionist or a Radical Republican and never claimed to be one. He made a sharp distinction between his frequently reiterated personal wish that 'all men everywhere could be free' and his official duties as a legislator, congressman, and president in a legal and constitutional system that recognized the South's right to property in slaves. Even after issuing the Emancipation Proclamation he continued to declare his preference for gradual abolition. While his racial views changed during the Civil War, he never became a principled egalitarian in the manner of abolitionists such as Frederick Douglass or Wendell Phillips or Radical Republicans like Charles Sumner.""
—Eric Foner, The Fiery Trial, 2010
Which of the following statements best describes Eric Foner's argument about President Abraham Lincoln's views on slavery?","['A. President Lincoln was a consistent supporter of the abolitionist cause.', 'B. President Lincoln was reluctant to be ideologically associated with advocates like Frederick Douglass.', 'C. In his ambition to become president, Abraham Lincoln declared his desire to use his constitutional powers to end slavery.', 'D. President Lincoln had continually changing views on slavery and abolition that did not always fit into the prevailing political categories.']",D. President Lincoln had continually changing views on slavery and abolition that did not always fit into the prevailing political categories.,high_school,us_history
"This question refers to the following information.
""We found that not only was it a civil war, an effort by a people who had for years been seeking their liberation from any colonial influence whatsoever, but also we found that the Vietnamese whom we had enthusiastically molded after our own image were hard put to take up the fight against the threat we were supposedly saving them from.
""We found most people didn't even know the difference between communism and democracy. They only wanted to work in rice paddies without helicopters strafing them and bombs with napalm burning their villages and tearing their country apart. They wanted everything to do with the war, particularly with this foreign presence of the United States of America, to leave them alone in peace, and they practiced the art of survival by siding with whichever military force was present at a particular time, be it Viet Cong, North Vietnamese or American.""
John Kerry, 1971
The two political issues that most concerned the Counterculture Movement of the 1960s were","['A. U.S. involvement in Vietnam and flag burning', 'B. the civil rights movement and censorship', 'C. U.S. involvement in Vietnam and the civil rights movement', 'D. censorship and the draft']",C. U.S. involvement in Vietnam and the civil rights movement,high_school,us_history
"This question refers to the following information.
Tonight, the daughter of a woman whose highest goal was a future for her children talks to our nation's oldest political party about a future for us all. Tonight, the daughter of working Americans tells all Americans that the future is within our reach, if we're willing to reach for it. Tonight, the daughter of an immigrant from Italy has been chosen to run for (vice) president in the new land my father came to love.… Americans want to live by the same set of rules. But under this administration, the rules are rigged against too many of our people. It isn't right that every year the share of taxes paid by individual citizens is going up, while the share paid by large corporations is getting smaller and smaller.… It isn't right that young couples question whether to bring children into a world of 50,000 nuclear warheads. That isn't the vision for which Americans have struggled for more than two centuries.… Tonight, we reclaim our dream. We're going to make the rules of American life work for all Americans again.… The issue is not what America can do for women, but what women can do for America.
—Geraldine Ferraro, Vice Presidential Nomination Acceptance Address, July 19, 1984
The ideas expressed in the passage above would most directly have strengthened which of the following during the 1980s?","[""A. Opposition to the administration's arms buildup"", 'B. Efforts to deregulate many industries', 'C. Efforts to reform the welfare system', ""D. Support for the administration's cold war policies""]",A. Opposition to the administration's arms buildup,high_school,us_history
